ISIN,tk_data,date,close,open,high,low,volume
CA135087P816,"1,124578091,1330,184",2026-01-08 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-08 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-08 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-08 22:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-09 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-09 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-09 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-09 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-09 14:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-09 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-09 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-09 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-09 22:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-12 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-12 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-12 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-12 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-12 14:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-12 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-12 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-12 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-12 22:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-13 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-13 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-13 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-13 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-13 14:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-13 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-13 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-13 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-13 22:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-14 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-14 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-14 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-14 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-14 14:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-14 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-14 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-14 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-14 22:44,100.15,100.15,100.15,100.15,0
